site,cropp,time,response,SE,df,lower.CL,upper.CL,.group,year,plant,location,planting,crop,gender,height,weight,planting1,doyp,harvest,doyh,dap
,,,,,,,,,2018,17,arlington,July,corn,m,29.5,0.1,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,13,arlington,July,corn,f,39,0.5,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,19,arlington,July,corn,m,37,0.2,7/1/18,182,27-Aug,239,57
,,,,,,,,,2018,20,arlington,July,corn,m,31,0.8,7/1/18,182,6-Sep,249,67
,,,,,,,,,2018,21,arlington,July,corn,f,28,0.2,7/1/18,182,6-Sep,249,67
,,,,,,,,,2018,22,arlington,July,corn,m,59,1.2,7/1/18,182,6-Sep,249,67
,,,,,,,,,2018,23,arlington,July,corn,m,33,0.3,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,24,arlington,July,corn,,,,,,,,
,,,,,,,,,2018,1,arlington,June ,corn,m ,100,5.6,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,2,arlington,June ,corn,m ,69,4.1,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,3,arlington,June ,corn,m ,94,3.8,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,4,arlington,June ,corn,m ,122,5.1,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,5,arlington,June ,corn,m ,107,7.6,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,6,arlington,June ,corn,m ,152,17.8,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,7,arlington,June ,corn,m ,165,21.1,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,8,arlington,June ,corn,m ,142,15.4,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,9,arlington,June ,corn,m ,82,37.8,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,10,arlington,June ,corn,f ,196,17.6,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,11,arlington,June ,corn,m ,124,9.5,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,12,arlington,June ,corn,m ,142,8.9,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,13,arlington,June ,corn,f ,174,11.8,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,14,arlington,June ,corn,f,173,11.8,6/1/18,152,19-Jul,200,48
,,,,,,,,,2018,15,arlington,June ,corn,m,107,7.6,6/1/18,152,19-Jul,200,48
,,,,,,,,,2018,16,arlington,June ,corn,m,85,7.8,6/1/18,152,24-Jul,205,53
,,,,,,,,,2018,17,arlington,June ,corn,m,79,2.8,6/1/18,152,24-Jul,205,53
,,,,,,,,,2018,18,arlington,June ,corn,f,130,10.7,6/1/18,152,31-Jul,212,60
,,,,,,,,,2018,19,arlington,June ,corn,m,123,20.2,6/1/18,152,31-Jul,212,60
,,,,,,,,,2018,20,arlington,June ,corn,m,76,3.9,6/1/18,152,31-Jul,212,60
,,,,,,,,,2018,21,arlington,June ,corn,m,183,17,6/1/18,152,3-Aug,215,63
,,,,,,,,,2018,22,arlington,June ,corn,f,204,31.5,6/1/18,152,3-Aug,215,63
,,,,,,,,,2018,23,arlington,June ,corn,f,109,5.5,6/1/18,152,3-Aug,215,63
,,,,,,,,,2018,24,arlington,June ,corn,f,214,14.4,6/1/18,152,3-Aug,215,63
,,,,,,,,,2018,1,arlington,July,fallow,f,21,13.7,7/1/18,182,24-Jul,205,23
,,,,,,,,,2018,2,arlington,July,fallow,m,51,23.2,7/1/18,182,24-Jul,205,23
,,,,,,,,,2018,3,arlington,July,fallow,,48,8.1,7/1/18,182,24-Jul,205,23
,,,,,,,,,2018,4,arlington,July,fallow,m,61,26.9,7/1/18,182,24-Jul,205,23
,,,,,,,,,2018,5,arlington,July,fallow,m,51,27.9,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,6,arlington,July,fallow,m,44,24.7,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,7,arlington,July,fallow,m,67,44.6,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,8,arlington,July,fallow,m,67,53.8,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,9,arlington,July,fallow,m,75,48.3,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,10,arlington,July,fallow,m,93,79.7,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,11,arlington,July,fallow,m,86,112.5,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,12,arlington,July,fallow,f,67,43.6,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,13,arlington,July,fallow,f,82,96.7,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,14,arlington,July,fallow,m,81,93.5,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,15,arlington,July,fallow,m,71,74.1,7/1/18,182,2-Aug,214,32
,,,,,,,,,2018,16,arlington,July,fallow,m,77,63,7/1/18,182,2-Aug,214,32
,,,,,,,,,2018,17,arlington,July,fallow,f,81,65.6,7/1/18,182,2-Aug,214,32
,,,,,,,,,2018,18,arlington,July,fallow,f,97,126.5,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,19,arlington,July,fallow,f,126,225.6,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,20,arlington,July,fallow,f,100,93.8,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,22,arlington,July,fallow,f,107,165.4,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,23,arlington,July,fallow,f,139,294,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,21,arlington,July,fallow,f,114,165.6,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,24,arlington,July,fallow,f,76,63,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,1,arlington,June ,soybean,m,42,1.1,6/1/18,152,12-Jun,163,11
,,,,,,,,,2018,2,arlington,June ,soybean,m,33,4.5,6/1/18,152,20-Jun,171,19
,,,,,,,,,2018,3,arlington,June ,soybean,m,43,6.5,6/1/18,152,25-Jun,176,24
,,,,,,,,,2018,4,arlington,June ,soybean,m,36,3.4,6/1/18,152,25-Jun,176,24
,,,,,,,,,2018,5,arlington,June ,soybean,m,36,7.1,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,6,arlington,June ,soybean,m,50,12.6,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,7,arlington,June ,soybean,m,33,15.4,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,8,arlington,June ,soybean,m,61,12.6,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,9,arlington,June ,soybean,m,46,16,6/1/18,152,28-Jun,179,27
,,,,,,,,,2018,10,arlington,June ,soybean,m,58,24,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,11,arlington,June ,soybean,m,74,42.7,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,12,arlington,June ,soybean,m,57,47.1,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,13,arlington,June ,soybean,f,100,94.7,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,14,arlington,June ,soybean,f,117,109.9,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,15,arlington,June ,soybean,f,69,18.7,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,16,arlington,June ,soybean,m,93,10.3,6/1/18,152,6-Jul,187,35
,,,,,,,,,2018,17,arlington,June ,soybean,f,100,105.6,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,18,arlington,June ,soybean,f,97,40.3,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,19,arlington,June ,soybean,f,147,169.1,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,20,arlington,June ,soybean,f,105,59,6/1/18,152,16-Jul,197,45
,,,,,,,,,2018,21,arlington,June ,soybean,f,122,106.3,6/1/18,152,19-Jul,200,48
,,,,,,,,,2018,22,arlington,June ,soybean,f,130,78.6,6/1/18,152,24-Jul,205,53
,,,,,,,,,2018,23,arlington,June ,soybean,f,130,75.8,6/1/18,152,24-Jul,205,53
,,,,,,,,,2018,24,arlington,June ,soybean,f,135,195.8,6/1/18,152,31-Jul,212,60
,,,,,,,,,2018,1,arlington,July,soybean,m,55,1.1,7/1/18,182,24-Jul,205,23
,,,,,,,,,2018,2,arlington,July,soybean,m,75,1.8,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,3,arlington,July,soybean,f,61,1.8,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,4,arlington,July,soybean,m,64,3,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,5,arlington,July,soybean,m,79,4,7/1/18,182,31-Jul,212,30
,,,,,,,,,2018,6,arlington,July,soybean,f,52,1.1,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,7,arlington,July,soybean,f,102,6.5,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,8,arlington,July,soybean,m,48,1.5,7/1/18,182,8-Aug,220,38
,,,,,,,,,2018,9,arlington,July,soybean,m,53,0.8,7/1/18,182,8-Aug,220,38
,,,,,,,,,2018,10,arlington,July,soybean,m,90,3.2,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,11,arlington,July,soybean,f,83,1.7,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,12,arlington,July,soybean,m,84,2,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,15,arlington,July,soybean,f,91,3.3,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,19,arlington,July,soybean,m,37,0.6,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,21,arlington,July,soybean,m,82,1.5,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,13,arlington,July,soybean,f,93,1.8,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,14,arlington,July,soybean,f,33,0.9,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,16,arlington,July,soybean,f,79,2.4,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,18,arlington,July,soybean,f,94,3.4,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,20,arlington,July,soybean,f,100,2.6,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,17,arlington,July,soybean,f,59,0.9,7/1/18,182,27-Aug,239,57
,,,,,,,,,2018,22,arlington,July,soybean,m,93,10.3,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,23,arlington,July,soybean,f,102,6.5,7/1/18,182,8-Aug,220,38
,,,,,,,,,2018,24,arlington,July,soybean,,,,,,,,
,,,,,,,,,2018,1,clay center,June ,fallow,m,,225,6/1/18,152,7/23/18,204,52
,,,,,,,,,2018,2,clay center,June ,fallow,m,,230,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,3,clay center,June ,fallow,f,,150,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,4,clay center,June ,fallow,f,,160,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,5,clay center,June ,fallow,f,,170,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,6,clay center,June ,fallow,m,,225,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,7,clay center,June ,fallow,f,,230,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,8,clay center,June ,fallow,m,,420,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,9,clay center,June ,fallow,f,,350,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,10,clay center,June ,fallow,m,,200,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,11,clay center,June ,fallow,m,,210,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,12,clay center,June ,fallow,f,,150,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,13,clay center,June ,fallow,m,,226,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,14,clay center,June ,fallow,m,,258,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,15,clay center,June ,fallow,f,,263,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,16,clay center,June ,fallow,f,,240,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,17,clay center,June ,fallow,m,,250,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,18,clay center,June ,fallow,m,,255,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,19,clay center,June ,fallow,f,,260,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,20,clay center,June ,fallow,f,,270,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,21,clay center,June ,fallow,m,,280,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,22,clay center,June ,fallow,f,,150,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,23,clay center,June ,fallow,m,,180,6/1/18,152,7/10/18,191,39
,,,,,,,,,2018,24,clay center,June ,fallow,m,,120,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,1,clay center,July,fallow,f,,60,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,2,clay center,July,fallow,m,,230,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,3,clay center,July,fallow,m,,245,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,4,clay center,July,fallow,f,,230,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,5,clay center,July,fallow,f,,200,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,6,clay center,July,fallow,m,,210,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,7,clay center,July,fallow,m,,310,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,8,clay center,July,fallow,f,,320,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,9,clay center,July,fallow,m,,325,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,10,clay center,July,fallow,f,,360,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,11,clay center,July,fallow,m,,410,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,12,clay center,July,fallow,f,,400,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,13,clay center,July,fallow,m,,450,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,14,clay center,July,fallow,m,,300,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,15,clay center,July,fallow,f,,320,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,16,clay center,July,fallow,f,,300,7/1/18,182,8/3/18,215,33
,,,,,,,,,2018,17,clay center,July,fallow,f,,120,7/1/18,182,8/3/18,215,33
,,,,,,,,,2018,18,clay center,July,fallow,f,,245,7/1/18,182,8/3/18,215,33
,,,,,,,,,2018,19,clay center,July,fallow,m,,240,7/1/18,182,8/3/18,215,33
,,,,,,,,,2018,20,clay center,July,fallow,m,,230,7/1/18,182,8/3/18,215,33
,,,,,,,,,2018,21,clay center,July,fallow,m,,260,7/1/18,182,8/3/18,215,33
,,,,,,,,,2018,22,clay center,July,fallow,f,,240,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,23,clay center,July,fallow,f,,230,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,24,clay center,July,fallow,f,,251,7/1/18,182,7/25/18,206,24
,,,,,,,,,2018,1,clay center,June ,corn,f,,65,6/1/18,152,7/27/18,208,56
,,,,,,,,,2018,2,clay center,June ,corn,m,,55,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,3,clay center,June ,corn,f,,,,,,,
,,,,,,,,,2018,4,clay center,June ,corn,f,,110,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,5,clay center,June ,corn,m,,40,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,6,clay center,June ,corn,f,,65,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,7,clay center,June ,corn,m,,55,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,8,clay center,June ,corn,f,,,,,,,
,,,,,,,,,2018,9,clay center,June ,corn,f,,56,6/1/18,152,8/22/18,234,82
,,,,,,,,,2018,10,clay center,June ,corn,m,,,,,,,
,,,,,,,,,2018,11,clay center,June ,corn,f,,,,,,,
,,,,,,,,,2018,12,clay center,June ,corn,m,,61,6/1/18,152,7/27/18,208,56
,,,,,,,,,2018,13,clay center,June ,corn,f,,,,,,,
,,,,,,,,,2018,14,clay center,June ,corn,m,,61,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,15,clay center,June ,corn,m,,56,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,16,clay center,June ,corn,f,,70,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,17,clay center,June ,corn,m,,,,,,,
,,,,,,,,,2018,18,clay center,June ,corn,f,,53,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,19,clay center,June ,corn,m,,64,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,20,clay center,June ,corn,f,,53,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,21,clay center,June ,corn,m,,58,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,22,clay center,June ,corn,f,,58,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,23,clay center,June ,corn,f,,62,6/1/18,152,7/25/18,206,54
,,,,,,,,,2018,24,clay center,June ,corn,m,,62,6/1/18,152,7/23/18,204,52
,,,,,,,,,2018,1,clay center,July,corn,f,,50,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,2,clay center,July,corn,m,,30,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,3,clay center,July,corn,f,,40,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,4,clay center,July,corn,m,,10,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,5,clay center,July,corn,f,,8,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,6,clay center,July,corn,m,,20,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,7,clay center,July,corn,m,,25,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,8,clay center,July,corn,f,,8,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,9,clay center,July,corn,m,,12,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,10,clay center,July,corn,m,,30,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,11,clay center,July,corn,m,,40,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,12,clay center,July,corn,f,,20,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,13,clay center,July,corn,f,,10,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,14,clay center,July,corn,f,,18,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,15,clay center,July,corn,m,,30,7/1/18,182,8/22/18,234,52
,,,,,,,,,2018,16,clay center,July,corn,f,,25,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,17,clay center,July,corn,m,,20,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,18,clay center,July,corn,m,,22,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,19,clay center,July,corn,f,,5,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,20,clay center,July,corn,f,,12,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,21,clay center,July,corn,f,,10,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,22,clay center,July,corn,f,,25,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,23,clay center,July,corn,m,,20,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,24,clay center,July,corn,m,,15,7/1/18,182,9/5/18,248,66
,,,,,,,,,2018,1,clay center,June ,soybean,f,,110,6/1/18,152,7/11/18,192,40
,,,,,,,,,2018,2,clay center,June ,soybean,m,,90,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,3,clay center,June ,soybean,,,,,,,,
,,,,,,,,,2018,4,clay center,June ,soybean,m,,150,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,5,clay center,June ,soybean,f,,210,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,6,clay center,June ,soybean,f,,82,6/1/18,152,7/23/18,204,52
,,,,,,,,,2018,7,clay center,June ,soybean,m,,75,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,8,clay center,June ,soybean,m,,96,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,9,clay center,June ,soybean,f,,80,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,10,clay center,June ,soybean,f,,75,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,11,clay center,June ,soybean,f,,50,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,12,clay center,June ,soybean,m,,60,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,13,clay center,June ,soybean,m,,68,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,14,clay center,June ,soybean,f,,75,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,15,clay center,June ,soybean,m,,78,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,16,clay center,June ,soybean,m,,79,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,17,clay center,June ,soybean,f,,80,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,18,clay center,June ,soybean,m,,60,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,19,clay center,June ,soybean,m,,45,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,20,clay center,June ,soybean,f,,80,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,21,clay center,June ,soybean,f,,78,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,22,clay center,June ,soybean,m,,90,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,23,clay center,June ,soybean,m,,100,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,24,clay center,June ,soybean,m,,120,6/1/18,152,7/12/18,193,41
,,,,,,,,,2018,1,clay center,July,soybean,f,,120,1-Jul,182,9/5/18,248,66
,,,,,,,,,2018,2,clay center,July,soybean,m,,130,1-Jul,182,9/5/18,248,66
